file_name,file_size(KB),semi_join,blooms_join,parallel_semi_join,parallel_bloom_join,one_machine
file.txt,0.059,17855.498,18096.831,13559.845,14481.635,5.161
readME.txt,0.109,17939.207,18126.493,13617.701,14028.506,7.364
parallel.txt,2,17835.16,17968.923,13229.032,14011.384,5.589
cv.txt,4,18096.616,18053.645,13689.74,13551.359,3.985
fun2.txt,11,17925.277,18103.746,13596.551,14169.3,5.828
fun5.txt,12,18078.274,17502.718,13542.242,13882.255,7.398
fun6.txt,14,17874.929,17296.46,13540.551,14204.012,7.805
science7.txt,36,18062.539,18905.746,14449.806,13721.778,6.737
art1.txt,41,17875.003,18122.022,13778.551,13846.97,13.196
security.txt,42,17843.374,17160.251,14097.282,13942.271,7.768
fun1.txt,49,17867.095,17191.272,13453.082,13924.398,8.101
fun3.txt,54,17934.397,18664.485,13484.474,13731.337,11.052
fun4.txt,97,17814.502,18283.785,13246.087,14099.682,11.919
fun10.txt,112,18154.091,18176.86,13358.304,13769.87,12.111
politics3.txt,280,18083.036,18409.227,15599.161,13792.875,15.221
art10.txt,1400,17865.892,20304.141,13411.162,13543.831,66.501